Key	ClassName	Enabled
PERS_SED_QUANT	insilico.persistence_sediment_quantitative_irfmn.ismPersistenceSedimentQuantitativeIrfmn	TRUE
PERS_SOIL	insilico.persistence_soil_irfmn.ismPersistenceSoilIrfmn	TRUE
PERS_SOIL_QUANT	insilico.persistence_soil_quantitative_irfmn.ismPersistenceSoilQuantitativeIrfmn	TRUE
PERS_WAT	insilico.persistence_water_irfmn.ismPersistenceWaterIrfmn	TRUE
PGP_NIC	insilico.pgp_nic.ismPgpNic	FALSE
HEPA_PPARAUP	insilico.ppara_up.ismPPARAUp	TRUE
HEPA_PPARGUP	insilico.pparg_up.ismPPARGup	TRUE
PPB_CORAL	insilico.ppb_coral.ismPPBCoral	FALSE
HEPA_PXRUP	insilico.pxr_up.ismPxrUp	TRUE
ESTROGEN_CERAPP	insilico.rba_cerapp.ismEstrogenBindingCerapp	TRUE
ANDROGEN_COMPARA	insilico.rba_compara_irfmn.ismAndrogenBindingComparaIRFMN	TRUE
RBA_IRFMN	insilico.rba_irfmn.ismRbaIRFMN	TRUE
READYBIO_IRFMN	insilico.readybio_irfmn.ismReadyBioIRFMN	TRUE
SKIN_CAESAR	insilico.skin_caesar.ismSkinCaesar	TRUE
SKIN_NCSTOX	insilico.skin_cosmetics.ismSkinCosmetics	TRUE
SKIN_IRFMN	insilico.skin_irfmn.ismSkinIRFMN	TRUE
SKIN_IRRITATION	insilico.skin_irritation.ismSkinIrritation	FALSE
SKIN_IRRITATION_CORAL	insilico.skin_irritation_coral.ismSkinIrritationCoral	TRUE
SKIN_IRRITATION_SARPY	insilico.skin_irritation_sarpy.ismSkinIrritationSarpy	TRUE
SKINPERM_POTTS	insilico.skin_permeation_potts.ismSkinPermeationPotts	TRUE
SKINPERM_TENBERGE	insilico.skin_permeation_tenberge.ismSkinPermeationTenBerge	TRUE
SKIN_SENSITIZATION_CONCERT	insilico.skin_sensitization_concert.ismSkinSensitizationConcert	TRUE
SKIN_SENSITIZATION_SARPY	insilico.skin_sensitization_sarpy.ismSkinSensitizationSarpy	TRUE
SKIN_SENSITIZATION_TOXTREE	insilico.skin_sensitization_toxtree.ismSkinSensitizationToxTree	TRUE
SLUDGE_COMBASEEC50	insilico.sludge_combaseEC50.ismSludgeCombaseEC50	TRUE
SLUDGE_COMBASECLASS	insilico.sludge_combaseclass.ismSludgeCombaseClass	TRUE
STERO_OBERON	insilico.steroidogenesis.ismSteroidogenesis	TRUE
TRALPHA_NRMEA	insilico.thyroid_tralpha_nrmea.ismTRAlphaNRMEA	TRUE
TRBETA_NRMEA	insilico.thyroid_trbeta_nrmea.ismTRBetaNRMEA	TRUE
TISSUEBLOOD_INERIS	insilico.tissueblood_ineris.ismTissueBloodIneris	TRUE
TOTALHL_QSARINS	insilico.totalhl_qsarins.ismTotalHLQsarins	TRUE
TPO_OBERON	insilico.tpo_oberon.ismTpoOberon	TRUE
VAPOUR_PRESSURE	insilico.vapour_pressure.ismVapourPressure	TRUE
VERHAAR_TOXTREE	insilico.verhaar_toxtree.ismVerhaarToxtree	TRUE
WS_IRFMN	insilico.watersolubility.ismWaterSolubilityIRFMN	FALSE
ZEBRAFISH_CORAL	insilico.zebrafish_coral.ismZebrafishCoral	TRUE
